id,課程名稱
1,商管研究中的賽局分析：通路選擇、合約制定與共享經濟
2,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations
3,中國古代歷史與人物－－秦始皇
4,人工智慧(Artificial Intelligence)
5,CAD/BIM實務總整專題：畢業課程
6,史記（一）（Shi-ji (1) ）
7,唐詩新思路
8,基礎光學 I
9,實驗經濟學 (Experimental Economics I: Behavioral Game Theory)
10,少年福利與權利 (Welfare and Rights of Youth)
11,普通物理學 - 電磁學、光學及近代物理
12,材料力學一 (Mechanics of Materials I)
13,工程圖學 2D CAD 專題
14,工程圖學 3D CAD
15,工程圖學 2D CAD
16,工程圖學 3D CAD 專題
17,工程資訊管理 BIM 基礎
18,工程資訊管理 BIM 塑模
19,工程資訊管理 BIM 應用
20,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1)
21,東亞儒學：孟子二 (East Asian Confucianisms: Mencius 2)
22,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1)
23,東亞儒家:人文精神二(East Asian Confucianisms: Humanism 2)
24,東坡詞 (Ci Poetry of Su Dong Po)
25,機器人學一 (Robotics 1)
26,活用希臘哲學 (Understanding the Greek Philosophy)
27,發展心理學：哲學觀與方法論 (Developmental Psychology: Philosophical Bases and Methodology)
28,紅樓夢(The Red Chamber Dream)
29,紅樓夢：母神崇拜(The Red Chamber Dream 2)
30,經濟學概論：誘因與市場（Introduction to Economics: Incentive and Markets）
31,職場素養 (Professionalism)
32,"莊子─姿勢、意識與感情 (Zhuangzi─Posture, Awareness, and Sentiment)"
33,行銷典範轉移: 變動中的消費世界 (Marketing in a changing world)
34,計算機程式設計
35,頑想學概率：機率一
36,頑想學概率：機率二
37,食品安全與毒理 (Food Safety & Toxicology)
38,食品安全與風險分析（Food Safety＆Risk Analysis）
