id,英文名稱,課程名稱,作業份數,測驗人次,通過人次,平均通過率
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,9,194,149,0.59
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,2,1112,902,0.85
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,3,197,165,0.84
4,rengong-zhineng,人工智慧(Artificial Intelligence),7,3992,2899,0.75
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,18,109,85,0.82
6,shiji,史記（一）（Shi-ji (1) ）,3,704,517,0.75
7,tang-poems,唐詩新思路,8,4313,2730,0.64
8,ji-chu-guang-xue,基礎光學 I,11,3829,1051,0.34
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),18,2457,1587,0.69
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),6,701,303,0.49
11,wuli,普通物理學 - 電磁學、光學及近代物理,24,350,39,0.04
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),11,1112,163,0.19
13,cad,工程圖學 2D CAD 專題,4,1407,734,0.57
14,3d-cad,工程圖學 3D CAD,8,4324,1969,0.52
15,2d-cad,工程圖學 2D CAD,8,7344,3609,0.56
16,cad3d,工程圖學 3D CAD 專題,4,902,515,0.61
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,10,2907,1524,0.62
18,bim-sumo,工程資訊管理 BIM 塑模,24,2951,1996,0.80
19,bim-yingyong,工程資訊管理 BIM 應用,15,1311,840,0.75
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),9,4,4,0.11
21,mencius2,東亞儒學：孟子二 (East Asian Confucianisms: Mencius 2),3,70,38,0.54
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),7,282,232,0.82
23,east-asian-confucianisms-humanism2,東亞儒家:人文精神二(East Asian Confucianisms: Humanism 2),8,10,6,0.23
24,su-dongpo,東坡詞 (Ci Poetry of Su Dong Po),3,304,220,0.75
25,robotics1,機器人學一 (Robotics 1),7,713,576,0.83
26,xila-zhexue,活用希臘哲學 (Understanding the Greek Philosophy),5,451,304,0.70
27,developmental-psychology,發展心理學：哲學觀與方法論 (Developmental Psychology: Philosophical Bases and Methodology),4,325,276,0.85
28,the-red-chamber-dream,紅樓夢(The Red Chamber Dream),10,782,694,0.88
29,rcd2,紅樓夢：母神崇拜(The Red Chamber Dream 2),10,2,2,0.20
30,economics,經濟學概論：誘因與市場（Introduction to Economics: Incentive and Markets）,6,1023,966,0.91
31,zhichang-suyang,職場素養 (Professionalism),3,2361,1288,0.57
32,zhuangzi,"莊子─姿勢、意識與感情 (Zhuangzi─Posture, Awareness, and Sentiment)",11,6466,5022,0.79
33,taiwan-marketing-stp-crm,行銷典範轉移: 變動中的消費世界 (Marketing in a changing world),7,3053,2386,0.75
34,c-bian-cheng,計算機程式設計,7,9581,4355,0.49
35,prob1,頑想學概率：機率一,5,3105,2041,0.61
36,prob2,頑想學概率：機率二,6,384,298,0.81
37,shipin-anquan,食品安全與毒理 (Food Safety & Toxicology),10,1421,964,0.68
38,foodsafety2,食品安全與風險分析（Food Safety＆Risk Analysis）,8,179,156,0.77
