id,英文名稱,課程名稱,作業名稱,作業類型,繳交人數,通過人數,通過率
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,第一週測驗,exam,76,66,0.87
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,囚犯困境實例,phased peer,20,4,0.20
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,第二週測驗,exam,39,35,0.90
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,第三週測驗,exam,24,16,0.67
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,Return or rebate？競爭者如何影響你的策略選擇,phased peer,4,0,0.00
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,第四週測驗,exam,13,12,0.92
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,第五週測驗,exam,10,10,1.00
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,第六週測驗,exam,8,6,0.75
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,電信資費方案設計,phased peer,0,0,None
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,作業一,exam,846,654,0.77
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,作業二,exam,266,248,0.93
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,第一次作業,phased peer,96,80,0.83
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,第二次作業,phased peer,57,47,0.82
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,第三次作業,phased peer,44,38,0.86
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week 1,exam,1698,1236,0.73
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week 2,exam,799,495,0.62
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week 3,exam,444,342,0.77
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week 4,exam,313,253,0.81
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week 5,exam,274,211,0.77
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week 6,exam,251,197,0.78
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week 7,exam,213,165,0.77
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,元件數量檢核,phased peer,10,8,0.80
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,樓梯檢核,phased peer,9,8,0.89
