id,英文名稱,課程名稱,總註冊人數,總購買人數,總完課人數
1,gabr,商管研究中的賽局分析：通路選擇、合約制定與共享經濟,918,5,0
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,9670,119,244
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,3760,21,37
4,rengong-zhineng,人工智慧(Artificial Intelligence),10323,89,136
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,357,34,2
6,shiji,史記（一）（Shi-ji (1) ）,7229,63,130
7,tang-poems,唐詩新思路,5836,73,258
8,ji-chu-guang-xue,基礎光學 I,5524,22,19
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),3215,17,11
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),1260,21,8
11,wuli,普通物理學 - 電磁學、光學及近代物理,2932,8,0
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),3193,17,0
13,cad,工程圖學 2D CAD 專題,3957,150,136
14,3d-cad,工程圖學 3D CAD,6040,132,184
15,2d-cad,工程圖學 2D CAD,9279,317,275
16,cad3d,工程圖學 3D CAD 專題,2455,91,105
